"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2012.0027",126320.94797459,110548.279697072,142093.616252108,102198.733469007,150443.162480174
"2012.0055",132842.089108621,110551.810519708,155132.367697534,98752.0498045309,166932.128412711
"2012.0082",135626.038882735,111341.518318693,159910.559446776,98486.069671182,172766.008094288
"2012.0110",136814.538899142,111533.566599088,162095.511199196,98150.6282657803,175478.449532503
"2012.0137",137321.923156622,111358.509377954,163285.336935289,97614.3083481034,177029.53796514
"2012.0164",137538.531302338,111011.734712566,164065.327892111,96969.2968376445,178107.765767032
"2012.0192",137631.003798477,110592.589598159,164669.417998796,96279.3177200631,178982.689876892
"2012.0219",137670.481365279,110146.297981261,165194.664749296,95575.8754306159,179765.087299941
"2012.0247",137687.334790303,109692.58842776,165682.081152847,94873.0648833398,180501.604697267
"2012.0274",137694.529710307,109239.833730957,166149.225689657,94176.8275670746,181212.231853539
"2012.0301",137697.601303991,108791.461234738,166603.741373244,93489.4750053579,181905.727602623
"2012.0329",137698.912602484,108348.770392565,167049.054812402,92811.7436276454,182586.081577322
"2012.0356",137699.472410816,107912.155313279,167486.789508353,92143.7021422688,183255.242679363
"2012.0384",137699.711399399,107481.631782934,167917.791015865,91485.1467087721,183914.276090027
"2012.0411",137699.81342636,107057.063328013,168342.563524707,90835.7712803082,184563.855572413
"2012.0438",137699.856982838,106638.25755496,168761.456410716,90195.2400656247,185204.47390005
"2012.0466",137699.875577596,106225.006724815,169174.744430377,89563.2176169335,185836.533538259
"2012.0493",137699.883515911,105817.104428262,169582.662603561,88939.3806856688,186460.386346154
"2012.0521",137699.886904869,105414.35206738,169985.421742358,88323.4223096257,187076.351500112
"2012.0548",137699.888351654,105016.561029715,170383.215673592,87715.0526507885,187684.724052519
"2012.0575",137699.888969303,104623.553075892,170776.224862714,87113.998526349,188285.779412256
"2012.0603",137699.889232984,104235.160016276,171164.618449693,86520.00246092,188879.776005048
"2012.0630",137699.889345553,103851.223131825,171548.55555928,85932.8216072904,189466.957083815
"2012.0658",137699.88939361,103471.592528645,171928.186258574,85352.2266766851,190047.552110534
"2012.0685",137699.889414126,103096.126502473,172303.652325779,84778.0009315647,190621.777896686
"2012.0712",137699.889422884,102724.690941387,172675.087904381,84209.9392570916,191189.839588677
"2012.0740",137699.889426623,102357.158775033,173042.620078213,83647.8473123602,191751.931540886
"2012.0767",137699.889428219,101993.409470571,173406.369385868,83091.5407567772,192308.238099662
"2012.0795",137699.889428901,101633.328572536,173766.450285265,82540.8445451652,192858.934312637
"2012.0822",137699.889429192,101276.807282849,174122.971575535,81995.5922849415,193404.186573442
"2012.0849",137699.889429316,100923.742077128,174476.036781504,81455.6256491098,193944.153209522
"2012.0877",137699.889429369,100574.034353704,174825.744505034,80920.7938393798,194478.985019358
"2012.0904",137699.889429392,100227.590112053,175172.188746731,80390.9530943343,195008.825764449
"2012.0932",137699.889429401,99884.3196577195,175515.459201083,79865.9662381315,195533.812620671
"2012.0959",137699.889429406,99544.1373311233,175855.641527688,79345.7022657451,196054.076593066
"2012.0986",137699.889429407,99206.9612579347,176192.81760088,78830.0359611912,196569.742897623
"2012.1014",137699.889429408,98872.7131189587,176527.065739857,78318.8475455971,197080.931313219
"2012.1041",137699.889429408,98541.3179376994,176858.460921117,77812.0223523069,197587.75650651
"2012.1068",137699.889429409,98212.7038839707,177187.074974846,77309.4505265306,198090.328332287
"2012.1096",137699.889429409,97886.8020920971,177512.97676672,76811.0267473065,198588.752111511
"2012.1123",137699.889429409,97563.5464924026,177836.232366415,76316.6499697846,199083.128889033
"2012.1151",137699.889429409,97242.8736548176,178156.905204,75826.2231860447,199573.555672773
"2012.1178",137699.889429409,96924.7226435565,178475.056215261,75339.6532028448,200060.125655972
"2012.1205",137699.889429409,96609.034881923,178790.743976894,74856.8504348589,200542.928423958
"2012.1233",137699.889429409,96295.754026394,179104.024832423,74377.728712104,201022.050146713
"2012.1260",137699.889429409,95984.8258492134,179414.953009604,73902.2051003846,201497.573758433
"2012.1288",137699.889429409,95676.1981288067,179723.580730011,73430.1997336939,201969.579125123
"2012.1315",137699.889429409,95369.8205473853,180029.958311432,72961.6356576153,202438.143201202
"2012.1342",137699.889429409,95065.6445951748,180334.134263642,72496.4386828511,202903.340175966
"2012.1370",137699.889429409,94763.6234807499,180636.155378067,72034.5372480915,203365.241610726
"2012.1397",137699.889429409,94463.7120470069,180936.06681181,71575.8622915062,203823.916567311
"2012.1425",137699.889429409,94165.8666923463,181233.912166471,71120.347130203,204279.431728614
"2012.1452",137699.889429409,93870.0452966763,181529.733562141,70667.9273470605,204731.851511757
"2012.1479",137699.889429409,93576.2071518814,181823.571706936,70218.5406843886,205181.238174429
"2012.1507",137699.889429409,93284.3128964318,182115.465962385,69772.1269439221,205627.651914895
"2012.1534",137699.889429409,92994.3244538345,182405.454404983,69328.6278926905,206071.150966127
"2012.1562",137699.889429409,92706.2049746562,182693.573884161,68887.9871743484,206511.791684469
"2012.1589",137699.889429409,92419.9187818652,182979.860076952,68450.1502255848,206949.628633232
"2012.1616",137699.889429409,92135.431319266,183264.347539551,68015.0641972587,207384.714661559
