"date","load"
2011-01-01,4745
2011-01-02,4743
2011-01-03,4741
2011-01-04,4741
2011-01-05,4740
2011-01-06,4740
2011-01-07,4740
2011-01-08,4740
2011-01-09,4740
2011-01-10,4740
2011-01-11,4740
2011-01-12,4740
2011-01-13,4740
2011-01-14,4740
2011-01-15,4740
2011-01-16,4740
2011-01-17,4740
2011-01-18,4740
2011-01-19,4740
2011-01-20,4740
2011-01-21,4740
2011-01-22,4740
2011-01-23,4740
2011-01-24,4740
2011-01-25,4740
2011-01-26,4740
2011-01-27,4740
2011-01-28,4740
2011-01-29,4740
2011-01-30,4740
2011-01-31,4740
2011-02-01,4740
2011-02-02,4740
2011-02-03,4740
2011-02-04,4740
2011-02-05,4740
2011-02-06,4740
2011-02-07,4740
2011-02-08,4740
2011-02-09,4740
2011-02-10,4740
2011-02-11,4740
2011-02-12,4740
2011-02-13,4740
2011-02-14,4740
2011-02-15,4740
2011-02-16,4740
2011-02-17,4740
2011-02-18,4740
2011-02-19,4740
2011-02-20,4740
2011-02-21,4740
2011-02-22,4740
2011-02-23,4740
2011-02-24,4740
2011-02-25,4740
2011-02-26,4740
2011-02-27,4740
2011-02-28,4740
