"","x"
"1",117753.040881214
"2",129232.240159261
"3",129179.311125506
"4",112894.056755338
"5",100760.35056466
"6",104096.907016339
"7",93654.505371528
"8",98054.9134197282
"9",114345.115675198
"10",109824.321189988
"11",97678.024983281
"12",98794.8671098699
"13",106069.787034923
"14",116929.407882896
"15",114171.429924561
"16",125263.799429978
"17",117731.883703264
"18",110599.435457199
"19",116102.040632827
"20",129390.824206932
"21",122336.394632817
"22",107678.52528209
"23",111087.918237479
"24",112766.220765726
"25",126500.791635597
"26",117586.960525873
"27",114851.618770298
"28",108193.949729417
"29",102781.555207988
"30",129484.25112222
"31",128578.984837989
"32",113166.595832599
"33",101645.909448287
"34",101921.663027413
"35",115208.135770601
"36",125660.098561938
"37",113535.025030352
"38",118507.832281421
"39",113612.889102348
"40",110880.521770871
"41",115619.555646287
"42",107542.248489487
"43",96286.0723767445
"44",109506.198992357
"45",114242.355559267
"46",108808.11645238
"47",110224.029819402
"48",111161.705059056
"49",119692.256743339
"50",102167.231530279
"51",107284.149693582
"52",103826.204644639
"53",98765.2255571055
"54",108858.659191685
"55",110195.370973752
"56",105999.194603306
"57",108134.842344185
"58",103148.532277037
"59",101454.129235184
