"","x"
"1",6460.70014611873
"2",26884.6678173516
"3",38347.7779543379
"4",38277.351652968
"5",21972.3900091324
"6",9815.34617351598
"7",13128.1938447489
"8",2672.8579543379
"9",7076.07658447488
"10",23368.0809680365
"11",18849.1708310502
"12",6697.41466666667
"13",7807.87000913242
"14",15088.3028858448
"15",25949.6985022831
"16",23185.0541187215
"17",34278.8037077626
"18",26750.0119269406
"19",19613.5363105023
"20",25111.3341187215
"21",38394.693022831
"22",31328.3883652968
"23",16655.1297351598
"24",20040.3532968036
"25",21701.2623378995
"26",35447.8031598173
"27",26550.0524748858
"28",23811.0667214612
"29",17144.8579543379
"30",11729.7034337899
"31",38444.0212420091
"32",37561.9965844749
"33",22165.9176803653
"34",10655.0415159817
"35",10932.8311050228
"36",24219.2552146119
"37",34671.4212420091
"38",22542.9554885845
"39",27512.0195981735
"40",22614.6683652968
"41",19874.8497351598
"42",24604.5406940639
"43",16531.5237077625
"44",5286.77685844746
"45",18515.7894611872
"46",23256.111652968
"47",17809.2513789954
"48",19211.5385022831
"49",20148.5867214611
"50",28699.5406940639
"51",11186.8217899543
"52",16306.8376803653
"53",12842.5582283105
"54",7784.98507762554
"55",17887.533022831
"56",19236.1932968036
"57",15045.7790502283
"58",17193.6935707762
"59",12221.4048036529
"60",10542.6853515981
"61",-208.509716895018
"62",16675.5911050228
"63",27334.5385022831
"64",15735.7861735159
"65",9613.09466666663
"66",2676.11603652964
"67",1175.61631050224
"68",-10924.204237443
"69",-11740.1401278539
"70",-16009.5741004566
"71",-18560.1168401827
"72",-22231.1902648402
"73",-17345.5677990868
"74",-13760.3014977169
"75",-11674.0609497717
"76",-1608.70697716897
"77",5562.92315981732
"78",1241.68809132417
"79",-16352.9228675799
"80",-14934.0171141553
"81",-8770.67081278541
"82",-14980.5376621005
"83",-12347.8894429224
"84",-6330.26149771691
"85",-2518.63190867582
"86",-15228.5535525114
"87",-16114.912456621
"88",-17259.9502648402
"89",-16883.112456621
"90",-16969.6094429224
"91",-23400.048347032
"92",-28002.1886210046
"93",-29212.2225936073
"94",-25387.2768401827
"95",-27348.6034155251
"96",-21555.2302648402
"97",-17432.2532785388
"98",-10425.6149223745
"99",-8430.48396347035
"100",-16107.7442374429
"101",-22117.789716895
"102",-27717.109716895
"103",-26601.6960182649
"104",-24105.6899908676
"105",-23258.6932785388
"106",-19390.3562922375
"107",-19545.312456621
"108",-19323.2335525114
"109",-24467.1086210046
"110",-26664.1020456621
"111",-27498.888347032
"112",-28255.2045114155
"113",-28090.1442374429
"114",-28778.8149223744
"115",-25994.0461552512
"116",-25609.3880730594
"117",-20414.8631415525
"118",-23930.8067031964
"119",-25600.3508127854
"120",-26265.0954703196
"121",-25546.0861552511
"122",-19786.9217716895
"123",-19813.9354703196
"124",-19103.2845114155
"125",-21289.3349223744
"126",-23973.3447853881
"127",-19999.3250593607
"128",-22047.7190319635
"129",-20160.013826484
"130",-19545.5206757991
"131",-22705.8998538813
"132",-28024.1009497717
"133",-25935.8406757991
"134",-29154.3464292237
"135",-24462.2028675799
"136",-18034.7650593607
"137",-23010.9727305936
"138",-27115.5842374429
"139",-28712.1908127854
"140",-27772.0313607306
"141",-25197.488347032
"142",-26574.5535525114
"143",-23626.8817716895
"144",-20475.2927305936
"145",-16949.9349223744
"146",-10716.2286210045
"147",-7502.59190867579
"148",-5402.65711415524
"149",-9782.61382648401
"150",-9523.94588127852
"151",-4656.02642922372
"152",4399.08699543381
"153",-61.0083470319452
"154",-4868.0341004566
"155",-936.093826483996
"156",4077.27000913244
"157",4486.18562557079
"158",5196.06891324203
"159",8157.96973515984
"160",10647.8486392694
"161",3374.84315981737
"162",4542.68151598175
"163",2174.89576255709
"164",2889.1269954338
"165",426.016310502298
"166",-115.400675799071
"167",-3895.56122374428
"168",420.383981735175
"169",7016.06343378997
"170",6393.79768036532
"171",9171.06946118725
"172",12398.8897351598
"173",11368.9511050229
"174",12488.1012420092
"175",12526.1741187215
"176",16919.0037077626
"177",19460.8015159818
"178",23282.2168584475
"179",29038.346173516
"180",27320.5960365297
"181",22045.5806940639
"182",8419.53959817354
"183",9674.07256621007
"184",9413.01000913244
"185",16598.0111050229
"186",23167.8637077626
"187",16200.5278173516
"188",8858.84726940643
"189",12388.6538447489
"190",14821.5678173516
"191",11120.8609680366
"192",12779.0445296804
"193",12738.3278173516
"194",11183.840694064
"195",6461.82589954341
"196",15705.4264474886
"197",15933.6883652968
"198",16214.5130228311
"199",19820.5316529681
"200",22698.5322009133
"201",19416.1327488585
"202",16415.9256255708
"203",15196.68343379
"204",12873.9963105023
"205",9468.7552146119
"206",7658.91028310505
"207",17932.4242557078
"208",29351.0922009133
"209",22257.6242557078
"210",20234.2905570777
"211",16471.1595981735
"212",21153.1809680366
"213",23840.7267214612
"214",25130.0916529681
"215",26751.6472694064
"216",25187.1974063927
"217",24687.7809680365
"218",26176.8132968037
