"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2012.0027",26884.6678173516,26884.6678173516,26884.6678173516,26884.6678173516,26884.6678173516
"2012.0055",38347.7779543379,38347.7779543379,38347.7779543379,38347.7779543379,38347.7779543379
"2012.0082",38277.3516529681,38277.3516529681,38277.3516529681,38277.351652968,38277.3516529681
"2012.0110",21972.3900091324,21972.3900091324,21972.3900091324,21972.3900091324,21972.3900091324
"2012.0137",9815.34617351599,9815.34617351598,9815.34617351599,9815.34617351598,9815.34617351599
"2012.0164",13128.1938447489,13128.1938447489,13128.1938447489,13128.1938447489,13128.1938447489
"2012.0192",2672.8579543379,2672.8579543379,2672.8579543379,2672.8579543379,2672.8579543379
"2012.0219",7076.07658447488,7076.07658447488,7076.07658447488,7076.07658447487,7076.07658447488
"2012.0247",23368.0809680365,23368.0809680365,23368.0809680365,23368.0809680365,23368.0809680365
"2012.0274",18849.1708310502,18849.1708310502,18849.1708310502,18849.1708310502,18849.1708310502
"2012.0301",6697.41466666667,6697.41466666667,6697.41466666667,6697.41466666667,6697.41466666667
"2012.0329",7807.87000913242,7807.87000913242,7807.87000913242,7807.87000913242,7807.87000913243
"2012.0356",15088.3028858448,15088.3028858448,15088.3028858448,15088.3028858448,15088.3028858448
"2012.0384",25949.6985022831,25949.6985022831,25949.6985022831,25949.6985022831,25949.6985022831
"2012.0411",23185.0541187215,23185.0541187215,23185.0541187215,23185.0541187215,23185.0541187215
"2012.0438",34278.8037077626,34278.8037077626,34278.8037077626,34278.8037077626,34278.8037077626
"2012.0466",26750.0119269406,26750.0119269406,26750.0119269406,26750.0119269406,26750.0119269406
"2012.0493",19613.5363105023,19613.5363105023,19613.5363105023,19613.5363105023,19613.5363105023
"2012.0521",25111.3341187215,25111.3341187215,25111.3341187215,25111.3341187215,25111.3341187215
"2012.0548",38394.6930228311,38394.6930228311,38394.6930228311,38394.693022831,38394.6930228311
"2012.0575",31328.3883652968,31328.3883652968,31328.3883652968,31328.3883652968,31328.3883652968
"2012.0603",16655.1297351598,16655.1297351598,16655.1297351598,16655.1297351598,16655.1297351598
"2012.0630",20040.3532968036,20040.3532968036,20040.3532968036,20040.3532968036,20040.3532968036
"2012.0658",21701.2623378995,21701.2623378995,21701.2623378995,21701.2623378995,21701.2623378995
"2012.0685",35447.8031598174,35447.8031598174,35447.8031598174,35447.8031598173,35447.8031598174
"2012.0712",26550.0524748858,26550.0524748858,26550.0524748858,26550.0524748858,26550.0524748858
"2012.0740",23811.0667214612,23811.0667214612,23811.0667214612,23811.0667214612,23811.0667214612
"2012.0767",17144.8579543379,17144.8579543379,17144.8579543379,17144.8579543379,17144.8579543379
"2012.0795",11729.7034337899,11729.7034337899,11729.7034337899,11729.7034337899,11729.7034337899
"2012.0822",38444.0212420091,38444.0212420091,38444.0212420091,38444.0212420091,38444.0212420091
"2012.0849",37561.9965844749,37561.9965844749,37561.9965844749,37561.9965844749,37561.9965844749
"2012.0877",22165.9176803653,22165.9176803653,22165.9176803653,22165.9176803653,22165.9176803653
"2012.0904",10655.0415159817,10655.0415159817,10655.0415159817,10655.0415159817,10655.0415159817
"2012.0932",10932.8311050228,10932.8311050228,10932.8311050228,10932.8311050228,10932.8311050228
"2012.0959",24219.2552146119,24219.2552146119,24219.2552146119,24219.2552146119,24219.2552146119
"2012.0986",34671.4212420091,34671.4212420091,34671.4212420091,34671.4212420091,34671.4212420091
"2012.1014",22542.9554885845,22542.9554885845,22542.9554885845,22542.9554885845,22542.9554885845
"2012.1041",27512.0195981735,27512.0195981735,27512.0195981735,27512.0195981735,27512.0195981735
"2012.1068",22614.6683652968,22614.6683652968,22614.6683652968,22614.6683652968,22614.6683652968
"2012.1096",19874.8497351598,19874.8497351598,19874.8497351598,19874.8497351598,19874.8497351598
"2012.1123",24604.5406940639,24604.5406940639,24604.5406940639,24604.5406940639,24604.5406940639
"2012.1151",16531.5237077625,16531.5237077625,16531.5237077625,16531.5237077625,16531.5237077625
"2012.1178",5286.77685844746,5286.77685844746,5286.77685844747,5286.77685844746,5286.77685844747
"2012.1205",18515.7894611872,18515.7894611872,18515.7894611872,18515.7894611872,18515.7894611872
"2012.1233",23256.111652968,23256.111652968,23256.111652968,23256.111652968,23256.111652968
"2012.1260",17809.2513789954,17809.2513789954,17809.2513789954,17809.2513789954,17809.2513789954
"2012.1288",19211.5385022831,19211.5385022831,19211.5385022831,19211.5385022831,19211.5385022831
"2012.1315",20148.5867214611,20148.5867214611,20148.5867214612,20148.5867214611,20148.5867214612
"2012.1342",28699.5406940639,28699.5406940639,28699.5406940639,28699.5406940639,28699.5406940639
"2012.1370",11186.8217899543,11186.8217899543,11186.8217899543,11186.8217899543,11186.8217899543
"2012.1397",16306.8376803653,16306.8376803653,16306.8376803653,16306.8376803653,16306.8376803653
"2012.1425",12842.5582283105,12842.5582283105,12842.5582283105,12842.5582283105,12842.5582283105
"2012.1452",7784.98507762554,7784.98507762553,7784.98507762554,7784.98507762553,7784.98507762554
"2012.1479",17887.533022831,17887.533022831,17887.533022831,17887.533022831,17887.533022831
"2012.1507",19236.1932968036,19236.1932968036,19236.1932968036,19236.1932968036,19236.1932968036
"2012.1534",15045.7790502283,15045.7790502283,15045.7790502283,15045.7790502283,15045.7790502283
"2012.1562",17193.6935707762,17193.6935707762,17193.6935707762,17193.6935707762,17193.6935707762
"2012.1589",12221.4048036529,12221.4048036529,12221.4048036529,12221.4048036529,12221.4048036529
"2012.1616",10542.6853515981,10542.6853515981,10542.6853515981,10542.6853515981,10542.6853515981
