"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2012.0027",90874.1314260315,90815.5841313418,90932.6787207213,90784.591065683,90963.6717863801
"2012.0055",90890.2205670921,90769.6840102959,91010.7571238883,90705.8758114906,91074.5653226936
"2012.0082",90907.7178347072,90720.8315589671,91094.6041104474,90621.8999405986,91193.5357288159
"2012.0110",90927.425108375,90672.903663629,91181.9465531209,90538.1681495392,91316.6820672107
"2012.0137",90950.7627533136,90629.0568443643,91272.4686622628,90458.7560232634,91442.7694833638
"2012.0164",90974.4715337592,90587.0146621619,91361.9284053566,90381.9073839346,91567.0356835839
"2012.0192",90987.4057793593,90536.1716111625,91438.6399475561,90297.3026715037,91677.5088872149
"2012.0219",90984.5951974226,90471.8284563556,91497.3619384895,90200.3861402286,91768.8042546166
"2012.0247",90982.7930693304,90410.8433089087,91554.7428297521,90108.0713948136,91857.5147438473
"2012.0274",90980.9087211067,90352.1276483792,91609.6897938342,90019.2710548278,91942.5463873855
"2012.0301",90986.3686787836,90303.047779163,91669.6895784041,89941.3195452588,92031.4178123084
"2012.0329",90992.7554629067,90257.0895748454,91728.4213509681,89867.6515778811,92117.8593479324
"2012.0356",90987.2425112476,90201.3102192554,91773.1748032398,89785.2627954044,92189.2222270908
"2012.0384",90985.4677427822,90151.2226546887,91819.7128308757,89709.5999814659,92261.3355040984
"2012.0411",90992.1341680092,90111.4031655523,91872.8651704661,89645.1723357322,92339.0960002862
"2012.0438",90990.7540843844,90065.2399477255,91916.2682210432,89575.3023586763,92406.2058100925
"2012.0466",90987.6301384921,90018.916810778,91956.3434662063,89506.1109513522,92469.1493256321
"2012.0493",90991.6575088662,89981.2168456058,92002.0981721267,89446.3218690446,92536.9931486878
"2012.0521",90996.4648762752,89945.664114655,92047.2656378955,89389.4037926054,92603.5259599451
"2012.0548",91001.8895462701,89911.9989943394,92091.7800982009,89335.0457872623,92668.733305278
"2012.0575",91013.76462969,89885.9652554371,92141.5640039429,89288.9443300221,92738.5849293578
"2012.0603",91029.1539090999,89864.5446318468,92193.763186353,89248.0377208432,92810.2700973566
"2012.0630",91053.3233028447,89852.9278722574,92253.718733432,89217.4769160021,92889.1696896874
"2012.0658",91070.7167899957,89835.4901936718,92305.9433863196,89181.6007320617,92959.8328479298
"2012.0685",91058.7468379486,89789.5812154435,92327.9124604538,89117.7255186314,92999.7681572659
"2012.0712",91042.666413156,89740.3964782669,92344.9363480451,89051.0164170457,93034.3164092662
"2012.0740",91046.3104110059,89711.7183991913,92380.9024228206,89005.2280639995,93087.3927580123
"2012.0767",91054.8501372484,89688.6703040204,92421.0299704763,88965.4583862471,93144.2418882497
"2012.0795",91057.6101363672,89660.5328373216,92454.6874354127,88920.9647891437,93194.2554835906
"2012.0822",91045.9882423799,89618.6636275798,92473.3128571799,88863.0836176512,93228.8928671085
"2012.0849",91022.7466156831,89565.7879713465,92479.7052600198,88794.5206537799,93250.9725775863
"2012.0877",91006.436514403,89520.4232839124,92492.4497448935,88733.7753975061,93279.0976312998
"2012.0904",90996.626294475,89482.106809096,92511.145779854,88680.368622888,93312.883966062
"2012.0932",90994.5902845591,89452.0842322202,92537.0963368979,88635.5308523821,93353.649716736
"2012.0959",90994.6389181587,89424.6395764385,92564.6382598789,88593.5321283469,93395.7457079706
"2012.0986",90994.4356820977,89397.4119393049,92591.4594248905,88551.9986374369,93436.8727267585
"2012.1014",90997.8279039371,89374.2260899654,92621.4297179088,88514.7432070945,93480.9126007797
"2012.1041",91001.5710454167,89351.8165919486,92651.3254988848,88478.4893380037,93524.6527528297
"2012.1068",91003.9790992207,89328.4780468873,92679.4801515542,88441.5213667947,93566.4368316468
"2012.1096",91011.4303978808,89310.5707661657,92712.2900295958,88410.1900650324,93612.6707307292
"2012.1123",91020.7733143924,89294.9263484079,92746.6202803768,88381.3181515251,93660.2284772596
"2012.1151",91016.4831438936,89266.004450649,92766.9618371381,88339.3570049963,93693.6092827908
"2012.1178",91005.0538804663,89230.2844658918,92779.8232950408,88290.7782891045,93719.3294718281
"2012.1205",90996.1678933392,89197.4351101079,92794.9006765705,88245.2434922233,93747.092294455
"2012.1233",90992.0022684681,89169.6206835685,92814.3838533677,88204.9101462917,93779.0943906445
"2012.1260",91004.6234355539,89158.8956255926,92850.3512455151,88181.8263433036,93827.4205278041
"2012.1288",91018.249679288,89149.4669606351,92887.0323979408,88160.1931469049,93876.306211671
"2012.1315",91018.8766997636,89127.3197998837,92910.4335996435,88125.9900628554,93911.7633366719
"2012.1342",90998.474411444,89084.4140870717,92912.5347358163,88071.1717567026,93925.7770661854
"2012.1370",90986.1681024938,89049.8657097061,92922.4704952815,88024.849139546,93947.4870654416
"2012.1397",90983.0703753865,89024.7783960847,92941.3623546883,87988.1212419788,93978.0195087942
"2012.1425",90989.4047784976,89009.3673073362,92969.442249659,87961.1987851891,94017.6107718061
"2012.1452",90985.9988416492,88984.4520370233,92987.5456462751,87924.8971615378,94047.1005217606
"2012.1479",90976.8845310233,88954.0570333526,92999.712028694,87883.2368394557,94070.5322225909
"2012.1507",90964.9360391178,88921.04935933,93008.8227189056,87839.0811078238,94090.7909704119
"2012.1534",90959.1739152467,88894.4427960691,93023.9050344242,87801.4401648866,94116.9076656068
"2012.1562",90946.9071355785,88861.5398879815,93032.2743831756,87757.6131502891,94136.2011208679
"2012.1589",90932.8858355531,88827.0846524561,93038.68701865,87712.3408427202,94153.430828386
"2012.1616",90917.2022457547,88791.1634948991,93043.2409966103,87665.7065639226,94168.6979275868
