"date","load"
2011-01-01,97329.6611732099
2011-01-02,117769.687667202
2011-01-03,129250.271011718
2011-01-04,129199.532250702
2011-01-05,112917.892045181
2011-01-06,100784.543656035
2011-01-07,104110.31464172
2011-01-08,93652.1591344504
2011-01-09,98053.5682662255
2011-01-10,114343.682017768
2011-01-11,109830.226473214
2011-01-12,97684.8528155819
2011-01-13,98789.7921963965
2011-01-14,106068.447695432
2011-01-15,116936.507450017
2011-01-16,114170.480946295
2011-01-17,125261.105070825
2011-01-18,117736.339253896
2011-01-19,110604.669539045
2011-01-20,116107.891120049
2011-01-21,129403.124360043
2011-01-22,122352.208345204
2011-01-23,107703.118552324
2011-01-24,111105.73510489
2011-01-25,112754.673697946
2011-01-26,126485.133665644
2011-01-27,117591.026602088
2011-01-28,114860.580159991
2011-01-29,108197.130993382
2011-01-30,102770.354210367
2011-01-31,129461.430007006
2011-02-01,128563.094994674
2011-02-02,113157.20565708
2011-02-03,101644.293297652
2011-02-04,101922.131421346
2011-02-05,115208.352112128
2011-02-06,125663.910079499
2011-02-07,113539.187161263
2011-02-08,118510.659391646
2011-02-09,113620.759597691
2011-02-10,110890.283964068
2011-02-11,115615.684799081
2011-02-12,107531.238566085
2011-02-13,96277.6057554957
2011-02-14,109502.452834713
2011-02-15,114255.396290788
2011-02-16,108822.162339212
2011-02-17,110225.076519106
2011-02-18,111141.722553984
2011-02-19,119680.370449683
2011-02-20,102164.553869531
2011-02-21,107290.904185076
2011-02-22,103823.218975768
2011-02-23,98756.5318697135
2011-02-24,108847.131537837
2011-02-25,110190.029713722
2011-02-26,105987.348665937
2011-02-27,108121.240074118
2011-02-28,103133.26568956
