"date","load"
2011-01-01,3423
2011-01-02,6048
2011-01-03,8533
2011-01-04,7938
2011-01-05,7700
2011-01-06,7483
2011-01-07,7147
2011-01-08,5194
2011-01-09,7154
2011-01-10,7868
2011-01-11,8855
2011-01-12,5411
2011-01-13,7504
2011-01-14,6713
2011-01-15,6503
2011-01-16,5369
2011-01-17,3479
2011-01-18,2800
2011-01-19,4333
2011-01-20,3528
2011-01-21,4522
2011-01-22,3381
2011-01-23,5523
2011-01-24,3997
2011-01-25,2275
2011-01-26,3696
2011-01-27,5005
2011-01-28,5635
2011-01-29,5208
2011-01-30,6972
2011-01-31,8253
2011-02-01,7784
2011-02-02,6790
2011-02-03,5005
2011-02-04,5859
2011-02-05,4900
2011-02-06,3521
2011-02-07,7063
2011-02-08,7455
2011-02-09,6881
2011-02-10,4403
2011-02-11,6300
2011-02-12,6167
2011-02-13,6181
2011-02-14,7119
2011-02-15,5985
2011-02-16,5467
2011-02-17,6384
2011-02-18,6132
2011-02-19,5362
2011-02-20,5698
2011-02-21,5411
2011-02-22,4298
2011-02-23,3031
2011-02-24,4354
2011-02-25,5075
2011-02-26,6482
2011-02-27,5453
2011-02-28,5600
