"date","load"
2011-01-01,97329.073209981
2011-01-02,117769.130022274
2011-01-03,129249.737426876
2011-01-04,129199.018399174
2011-01-05,112917.394400277
2011-01-06,100784.059345106
2011-01-07,104109.841261939
2011-01-08,93651.6947895912
2011-01-09,98053.111291636
2011-01-10,114343.231326974
2011-01-11,109829.781147665
2011-01-12,97684.4117674041
2011-01-13,98789.3541582107
2011-01-14,106068.012266458
2011-01-15,116936.074308123
2011-01-16,114170.049840937
2011-01-17,125260.675484085
2011-01-18,117735.911073638
2011-01-19,110604.242824608
2011-01-20,116107.465302822
2011-01-21,129402.699290352
2011-01-22,122351.783912227
2011-01-23,107702.694675835
2011-01-24,111105.31172463
2011-01-25,112754.250813679
2011-01-26,126484.711210804
2011-01-27,117590.604523723
2011-01-28,114860.15849654
2011-01-29,108196.709728536
2011-01-30,102769.933314001
2011-01-31,129461.009495523
2011-02-01,128562.674736709
2011-02-02,113156.785612671
2011-02-03,101643.873438372
2011-02-04,101921.711661012
2011-02-05,115207.93253454
2011-02-06,125663.490783777
2011-02-07,113538.768171832
2011-02-08,118510.240335225
2011-02-09,113620.340401008
2011-02-10,110889.864687383
2011-02-11,115615.265475788
2011-02-12,107530.81922606
2011-02-13,96277.1863896174
2011-02-14,109502.033367486
2011-02-15,114254.976726353
2011-02-16,108821.742696114
2011-02-17,110224.656839877
2011-02-18,111141.302770736
2011-02-19,119679.950434388
2011-02-20,102164.133803172
2011-02-21,107290.484096694
2011-02-22,103822.79870779
2011-02-23,98756.1112464796
2011-02-24,108846.71069978
2011-02-25,110189.608849881
2011-02-26,105986.927823638
2011-02-27,108120.82104416
2011-02-28,103132.848687238
