"date","load"
2011-01-01,4055
2011-01-02,4907
2011-01-03,5385
2011-01-04,5383
2011-01-05,4705
2011-01-06,4199
2011-01-07,4338
2011-01-08,3902
2011-01-09,4086
2011-01-10,4764
2011-01-11,4576
2011-01-12,4070
2011-01-13,4116
2011-01-14,4420
2011-01-15,4872
2011-01-16,4757
2011-01-17,5219
2011-01-18,4906
2011-01-19,4609
2011-01-20,4838
2011-01-21,5392
2011-01-22,5098
2011-01-23,4488
2011-01-24,4629
2011-01-25,4698
2011-01-26,5270
2011-01-27,4900
2011-01-28,4786
2011-01-29,4508
2011-01-30,4282
2011-01-31,5394
2011-02-01,5357
2011-02-02,4715
2011-02-03,4235
2011-02-04,4247
2011-02-05,4800
2011-02-06,5236
2011-02-07,4731
2011-02-08,4938
2011-02-09,4734
2011-02-10,4620
2011-02-11,4817
2011-02-12,4480
2011-02-13,4012
2011-02-14,4563
2011-02-15,4761
2011-02-16,4534
2011-02-17,4593
2011-02-18,4631
2011-02-19,4987
2011-02-20,4257
2011-02-21,4470
2011-02-22,4326
2011-02-23,4115
2011-02-24,4535
2011-02-25,4591
2011-02-26,4416
2011-02-27,4505
2011-02-28,4297
